Facility Type,2018,2025,2030,2040,2050
HOV Lane,5908320,6700025,7670878,8555611,10329480
Freeway,40100139,47338822,52587763,62394877,70636699
Expressway,2217983,2811561,3270457,3996660,5013488
Collector,2955736,3273674,3453108,3905459,4496909
6-Leg Arterial,749882.7,792021.1,822407.5,865070.3,876906.6
Centroid Connector,12139401,13896016,15297939,17938519,20526638
Major Arterial,50897173,57537130,63429453,74241626,83671248
Unmetered Ramp,2921741,3284171,3526970,3932884,4381051
Metered Ramp,558400.7,608723.2,640288.1,694539.8,744131.2
CD Road,2945304,3958239,4669118,5676587,7021340
Parkway,0,0,90837.72,1030259,1534685
Unpaved Road,114748.5,134902,113781.9,125854.8,191568.1
Bus Only,11553.06,12791.81,13637.6,13903.84,13357.46
Light Rail,12845.96,19870.44,27786.87,31967.19,37665.59
Walk Only,0,0,0,0,0
PNR links,0,1599.164,1674.498,1772.122,1832.24
HOV-GP Connector,6898.735,8433.515,9216.265,10096.58,11973.74
Total,121540128.6,140377979.3,155625315.1,183415687.5,209488974.4
