Facility Type,2018,2025,2030,2040,2050
HOV Lane,1299593,1454837,1617497,1806026,2189208
Freeway,11335943,13333004,14786944,17235388,19317488
Expressway,613412.9,750878.2,874983.8,1077395,1355044
Collector,897956.8,994537.2,1046237,1184692,1357588
6-Leg Arterial,208391.6,218249,228248.3,239780.5,242344.5
Centroid Connector,3712176,4269861,4692054,5487979,6266498
Major Arterial,15127411,17131144,18889369,22041435,24798634
Unmetered Ramp,845764,952871.9,1017973,1136339,1269791
Metered Ramp,161598.8,176558.4,185236,202020.8,216848.4
CD Road,823181.2,1064756,1250189,1550992,1899376
Parkway,0,0,27373.83,298721,432125
Unpaved Road,34670.35,39596.08,34448.04,37770.27,56599.44
Bus Only,1990.904,2160.37,2284.385,2320.514,2342.666
Light Rail,2140.993,3311.741,4907.512,5836.473,6939.521
Walk Only,0,0,0,0,0
PNR links,0,442.5103,490.5615,515.3349,528.2094
HOV-GP Connector,2420.392,2796.051,2994.31,3285.703,3799.43
Total,35066651,40395004,44661230,52310497,59415155
