Facility Type,2018,2025,2030,2040,2050
HOV Lane,195.2756,218.9146,230.3149,234.4567,278.7495
Freeway,542.6826,571.9174,588.7311,605.575,614.368
Expressway,146.9611,157.9525,155.3449,176.0523,184.7369
Collector,1116.004,1154.853,1127.797,1073.132,1072.98
6-Leg Arterial,27.32637,27.32646,27.32646,27.53512,27.48016
Centroid Connector,4863.4,4949.275,4984.999,5001.772,5007.095
Major Arterial,3379.486,3971.92,4307.02,4683.225,4687.921
Unmetered Ramp,432.2579,456.2657,470.5666,507.0019,510.3832
Metered Ramp,62.7388,63.5283,63.60911,64.66571,64.57401
CD Road,644.389,654.1951,655.0238,656.2254,658.5894
Parkway,0,0,2.039368,62.03267,64.19242
Unpaved Road,508.2004,357.6455,287.8595,247.4916,247.4916
Bus Only,155.1839,155.027,155.027,155.027,155.027
Light Rail,27.80595,40.25065,63.7761,76.75077,93.54921
Walk Only,6.061119,6.996335,8.482559,9.119306,9.8482
PNR links,11.3991,12.67961,13.06479,13.229,13.229
HOV-GP Connector,1.999002,2.316861,2.523372,2.605563,2.862595
Total,12121.17,12801.06,13143.51,13595.9,13693.08
