Facility Type,2018,2025,2030,2040,2050
HOV Lane,224.98,224.98,224.98,224.98,224.98
Freeway,571.27,571.27,571.27,571.27,571.27
Expressway,158.93,158.93,158.93,158.93,158.93
Collector,1143.32,1143.32,1143.32,1143.32,1143.32
6-Leg Arterial,27.33,27.33,27.33,27.33,27.33
Centroid Connector,4951.78,4951.78,4951.78,4951.78,4951.78
Major Arterial,4005.8,4005.8,4005.8,4005.8,4005.8
Unmetered Ramp,456.98,456.98,456.98,456.98,456.98
Metered Ramp,63.51,63.51,63.51,63.51,63.51
CD Road,654.02,654.02,654.02,654.02,654.02
Parkway,1.32,1.322721243,1.32,1.32,1.32
Unpaved Road,346.91,346.91,346.91,346.91,346.91
Bus Only,156.79,156.79,156.79,156.79,156.79
Light Rail,654.02,654.02,654.02,654.02,654.02
Walk Only,7.05,7.05,7.05,7.05,7.05
PNR links,12.68,12.68,12.68,12.68,12.68
HOV-GP Connector,2.32,2.32,2.32,2.32,2.32
Total,611.9995204,2060.836457,2044.834338,2305.033686,5802.548158
